Date,0,1
14-Mar-17,6.0,3.0
14-May-16,,2.0
14-May-17,1.0,1.0
14-Nov-15,,1.0
14-Nov-16,3.0,4.0
14-Nov-17,6.0,10.0
14-Oct-15,5.0,1.0
14-Oct-16,4.0,
14-Oct-17,1.0,2.0
14-Sep-15,,4.0
14-Sep-16,2.0,4.0
14-Sep-17,5.0,9.0
15-Apr-16,1.0,4.0
15-Apr-17,1.0,1.0
15-Aug-15,,2.0
15-Aug-16,1.0,4.0
15-Aug-17,4.0,7.0
15-Dec-15,3.0,3.0
15-Dec-16,2.0,5.0
15-Dec-17,8.0,8.0
15-Feb-16,4.0,
15-Feb-17,6.0,2.0
15-Feb-18,11.0,6.0
15-Jan-16,2.0,5.0
15-Jan-17,,2.0
15-Jan-18,3.0,10.0
15-Jul-15,1.0,6.0
15-Jul-16,4.0,1.0
15-Jul-17,1.0,2.0
15-Jun-15,,3.0
15-Jun-16,,5.0
15-Jun-17,6.0,5.0
15-Mar-16,3.0,4.0
15-Mar-17,6.0,3.0
15-May-16,1.0,1.0
15-May-17,6.0,4.0
15-Nov-15,,1.0
15-Nov-16,5.0,5.0
15-Nov-17,7.0,10.0
15-Oct-15,3.0,4.0
15-Oct-16,2.0,
15-Oct-17,1.0,1.0
15-Sep-15,3.0,4.0
15-Sep-16,2.0,5.0
15-Sep-17,4.0,12.0
16-Apr-16,1.0,1.0
16-Apr-17,,2.0
16-Aug-15,,1.0
16-Aug-16,2.0,3.0
16-Aug-17,2.0,9.0
16-Dec-15,2.0,4.0
16-Dec-16,5.0,
16-Dec-17,,2.0
16-Feb-16,1.0,5.0
16-Feb-17,7.0,4.0
16-Feb-18,5.0,11.0
16-Jan-16,1.0,
16-Jan-17,2.0,7.0
16-Jan-18,9.0,7.0
16-Jul-15,1.0,5.0
16-Jul-16,,1.0
16-Jul-17,3.0,
16-Jun-15,3.0,4.0
16-Jun-16,3.0,3.0
16-Jun-17,6.0,4.0
16-Mar-16,5.0,2.0
16-Mar-17,4.0,7.0
16-May-16,2.0,5.0
16-May-17,5.0,6.0
16-Nov-15,2.0,4.0
16-Nov-16,2.0,6.0
16-Nov-17,4.0,12.0
16-Oct-15,3.0,2.0
16-Oct-16,,2.0
16-Oct-17,11.0,9.0
16-Sep-15,1.0,6.0
16-Sep-16,1.0,3.0
16-Sep-17,,2.0
17-Apr-16,2.0,1.0
17-Apr-17,3.0,7.0
17-Aug-15,3.0,1.0
17-Aug-16,1.0,4.0
17-Aug-17,8.0,5.0
17-Dec-15,4.0,1.0
17-Dec-16,1.0,1.0
17-Dec-17,1.0,1.0
17-Feb-16,4.0,2.0
17-Feb-17,3.0,6.0
17-Feb-18,1.0,1.0
17-Jan-16,,1.0
17-Jan-17,4.0,7.0
17-Jan-18,7.0,11.0
17-Jul-15,1.0,6.0
17-Jul-16,,1.0
17-Jul-17,6.0,6.0
17-Jun-15,2.0,2.0
17-Jun-16,5.0,3.0
17-Jun-17,1.0,1.0
17-Mar-16,2.0,4.0
17-Mar-17,1.0,6.0
17-May-16,,4.0
17-May-17,6.0,3.0
17-Nov-15,4.0,2.0
17-Nov-16,2.0,5.0
17-Nov-17,6.0,10.0
17-Oct-15,1.0,
17-Oct-16,4.0,2.0
17-Oct-17,11.0,4.0
17-Sep-15,,5.0
17-Sep-16,1.0,2.0
17-Sep-17,1.0,1.0
18-Apr-16,2.0,5.0
18-Apr-17,3.0,5.0
18-Aug-15,1.0,4.0
18-Aug-16,2.0,6.0
18-Aug-17,5.0,7.0
18-Dec-15,2.0,
18-Dec-16,1.0,
18-Dec-17,4.0,12.0
18-Feb-16,,7.0
18-Feb-17,1.0,1.0
18-Feb-18,1.0,1.0
18-Jan-16,1.0,4.0
18-Jan-17,5.0,6.0
18-Jan-18,7.0,11.0
18-Jul-15,1.0,
18-Jul-16,3.0,2.0
18-Jul-17,4.0,6.0
18-Jun-15,3.0,6.0
18-Jun-16,1.0,1.0
18-Jun-17,1.0,1.0
18-Mar-16,,3.0
18-Mar-17,2.0,2.0
18-May-16,2.0,4.0
18-May-17,4.0,4.0
18-Nov-15,4.0,2.0
18-Nov-16,3.0,5.0
18-Nov-17,2.0,1.0
18-Oct-15,,1.0
18-Oct-16,4.0,4.0
18-Oct-17,8.0,7.0
18-Sep-15,2.0,5.0
18-Sep-16,,2.0
18-Sep-17,6.0,8.0
19-Apr-16,3.0,2.0
19-Apr-17,5.0,5.0
19-Aug-15,,4.0
19-Aug-16,5.0,2.0
19-Aug-17,2.0,2.0
19-Dec-15,,1.0
19-Dec-16,4.0,1.0
19-Dec-17,5.0,11.0
19-Feb-16,2.0,3.0
19-Feb-17,,2.0
19-Feb-18,6.0,8.0
19-Jan-16,2.0,2.0
19-Jan-17,5.0,4.0
19-Jan-18,7.0,8.0
19-Jul-15,1.0,
19-Jul-16,3.0,5.0
19-Jul-17,4.0,6.0
19-Jun-15,,3.0
19-Jun-16,2.0,
19-Jun-17,4.0,7.0
19-Mar-16,,2.0
19-Mar-17,1.0,1.0
19-May-16,3.0,2.0
19-May-17,2.0,3.0
19-Nov-15,2.0,3.0
19-Nov-16,,2.0
19-Nov-17,1.0,1.0
19-Oct-15,1.0,5.0
19-Oct-16,6.0,2.0
19-Oct-17,8.0,6.0
19-Sep-15,,1.0
19-Sep-16,6.0,
19-Sep-17,6.0,7.0
2-Apr-16,1.0,1.0
2-Apr-17,1.0,1.0
2-Aug-15,,1.0
2-Aug-16,4.0,4.0
2-Aug-17,5.0,6.0
2-Dec-15,1.0,4.0
2-Dec-16,3.0,3.0
2-Dec-17,1.0,1.0
2-Feb-16,4.0,1.0
2-Feb-17,6.0,3.0
2-Feb-18,9.0,8.0
2-Jan-16,,1.0
2-Jan-17,,2.0
2-Jan-18,5.0,10.0
2-Jul-15,1.0,3.0
2-Jul-16,1.0,1.0
2-Jul-17,2.0,
2-Jun-16,1.0,4.0
2-Jun-17,4.0,4.0
2-Mar-16,3.0,2.0
2-Mar-17,2.0,6.0
2-May-16,5.0,9.0
2-May-17,3.0,7.0
2-Nov-15,,2.0
2-Nov-16,5.0,2.0
2-Nov-17,7.0,8.0
2-Oct-15,1.0,5.0
2-Oct-16,1.0,1.0
2-Oct-17,6.0,9.0
2-Sep-15,1.0,5.0
2-Sep-16,1.0,3.0
2-Sep-17,2.0,2.0
20-Apr-16,5.0,3.0
20-Apr-17,3.0,7.0
20-Aug-15,2.0,4.0
20-Aug-16,1.0,1.0
20-Aug-17,,2.0
20-Dec-15,,1.0
20-Dec-16,2.0,2.0
20-Dec-17,10.0,7.0
20-Feb-16,,3.0
20-Feb-17,2.0,2.0
20-Feb-18,8.0,10.0
20-Jan-16,3.0,5.0
20-Jan-17,5.0,3.0
20-Jan-18,,2.0
20-Jul-15,1.0,5.0
20-Jul-16,4.0,3.0
20-Jul-17,3.0,7.0
20-Jun-15,,1.0
20-Jun-16,1.0,5.0
20-Jun-17,6.0,6.0
20-Mar-16,1.0,
20-Mar-17,4.0,6.0
20-May-16,3.0,2.0
20-May-17,2.0,3.0
20-Nov-15,3.0,1.0
20-Nov-16,2.0,
20-Nov-17,5.0,11.0
20-Oct-15,,3.0
20-Oct-16,3.0,2.0
20-Oct-17,10.0,6.0
20-Sep-15,,1.0
20-Sep-16,3.0,5.0
20-Sep-17,8.0,5.0
21-Apr-16,5.0,1.0
21-Apr-17,5.0,4.0
21-Aug-15,2.0,3.0
21-Aug-16,,2.0
21-Aug-17,6.0,5.0
21-Dec-15,2.0,1.0
21-Dec-16,3.0,2.0
21-Dec-17,8.0,7.0
21-Feb-16,,2.0
21-Feb-17,6.0,2.0
21-Feb-18,9.0,3.0
21-Jan-16,4.0,1.0
21-Jan-17,1.0,1.0
21-Jan-18,,2.0
21-Jul-15,1.0,7.0
21-Jul-16,3.0,1.0
21-Jul-17,7.0,3.0
21-Jun-15,,1.0
21-Jun-16,2.0,5.0
21-Jun-17,6.0,5.0
21-Mar-16,2.0,3.0
21-Mar-17,2.0,7.0
21-May-16,1.0,1.0
21-May-17,1.0,1.0
21-Nov-15,,1.0
21-Nov-16,2.0,5.0
21-Nov-17,7.0,7.0
21-Oct-15,2.0,3.0
21-Oct-16,4.0,3.0
21-Oct-17,1.0,1.0
21-Sep-15,3.0,5.0
21-Sep-16,,6.0
21-Sep-17,4.0,9.0
22-Apr-16,6.0,3.0
22-Apr-17,1.0,1.0
22-Aug-15,,1.0
22-Aug-16,4.0,3.0
22-Aug-17,4.0,9.0
22-Dec-15,2.0,3.0
22-Dec-16,2.0,3.0
22-Dec-17,8.0,5.0
